"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
21, 0, 1.00705, 0, 1.05, 62302, sourcebus, 0, 0.99329, 0, 1.02946, x_39754_1, x_14836
22, 0, 1.0087, 0, 1.05, 62302, sourcebus, 0, 0.995514, 0, 1.03029, x_39754_1, x_14836
23, 0, 1.01111, 0, 1.05, 62302, sourcebus, 0, 0.998839, 0, 1.03155, x_39754_1, x_14836
24, 0, 1.01572, 0, 1.05, 62302, sourcebus, 0, 1.00517, 0, 1.03395, x_39754_1, x_14836
25, 0, 1.02054, 0, 1.05, 62302, sourcebus, 0, 1.01179, 0, 1.03645, x_39754_1, x_14836
26, 0, 1.02446, 0, 1.05, 62302, sourcebus, 0, 1.01719, 0, 1.0385, x_39754_1, x_14836
27, 0, 1.02701, 0, 1.05, 62302, sourcebus, 0, 1.02057, 0, 1.03981, x_69478_1, x_14836
28, 0, 1.02844, 0, 1.05, 62302, sourcebus, 0, 1.02149, 0, 1.04056, x_69478_1, x_14836
29, 0, 1.02872, 0, 1.05, 62302, sourcebus, 0, 1.01905, 0, 1.04076, x_69478_1, x_14836
30, 0, 1.02871, 0, 1.05, 62302, sourcebus, 0, 1.01933, 0, 1.04076, x_69478_1, x_14836
31, 0, 1.02624, 0, 1.05, 62302, sourcebus, 0, 1.0173, 0, 1.03946, x_69478_1, x_14836
32, 0, 1.02381, 0, 1.05, 62302, sourcebus, 0, 1.01537, 0, 1.03829, x_6568_1, x_14836
33, 0, 1.02442, 0, 1.05, 62302, sourcebus, 0, 1.01326, 0, 1.03874, x_6568_1, x_14836
34, 0, 1.02211, 0, 1.05, 62302, sourcebus, 0, 1.00886, 0, 1.03763, x_6568_1, x_14836
35, 0, 1.02013, 0, 1.05, 62302, sourcebus, 0, 1.00535, 0, 1.03666, x_6568_1, x_14836
36, 0, 1.01593, 0, 1.05, 62302, sourcebus, 0, 0.999532, 0, 1.03452, x_6568_1, x_14836
37, 0, 1.00917, 0, 1.05, 62302, sourcebus, 0, 0.992549, 0, 1.03097, x_6568_1, x_14836
38, 0, 1.00351, 0, 1.05, 62302, sourcebus, 0, 0.987106, 0, 1.02797, x_6568_1, x_14836
39, 0, 0.9995, 0, 1.05, 62302, sourcebus, 0, 0.983294, 0, 1.02582, x_39754_1, x_14836
40, 0, 0.996353, 0, 1.05, 62302, sourcebus, 0, 0.978956, 0, 1.02413, x_39754_1, x_14836
41, 0, 0.993404, 0, 1.05, 62302, sourcebus, 0, 0.974818, 0, 1.0225, x_39754_1, x_14836
42, 0, 0.992891, 0, 1.05, 62302, sourcebus, 0, 0.974003, 0, 1.02213, x_39754_1, x_14836
43, 0, 0.990828, 0, 1.05, 62302, sourcebus, 0, 0.971118, 0, 1.02099, x_39754_1, x_14836
44, 0, 0.992086, 0, 1.05, 62302, sourcebus, 0, 0.972762, 0, 1.02158, x_39754_1, x_14836
45, 0, 0.996137, 0, 1.05, 62302, sourcebus, 0, 0.978323, 0, 1.02372, x_39754_1, x_14836
46, 0, 0.998477, 0, 1.05, 62302, sourcebus, 0, 0.981537, 0, 1.02496, x_39754_1, x_14836
47, 0, 1.00305, 0, 1.05, 62302, sourcebus, 0, 0.98779, 0, 1.02733, x_39754_1, x_14836
48, 0, 1.00855, 0, 1.05, 62302, sourcebus, 0, 0.995313, 0, 1.03019, x_39754_1, x_14836
49, 0, 1.01572, 0, 1.05, 62302, sourcebus, 0, 1.00515, 0, 1.03393, x_39754_1, x_14836
50, 0, 1.02002, 0, 1.05, 62302, sourcebus, 0, 1.01108, 0, 1.03618, x_39754_1, x_14836
51, 0, 1.02378, 0, 1.05, 62302, sourcebus, 0, 1.01629, 0, 1.03817, x_39754_1, x_14836
52, 0, 1.02663, 0, 1.05, 62302, sourcebus, 0, 1.01987, 0, 1.03966, x_69478_1, x_14836
53, 0, 1.0283, 0, 1.05, 62302, sourcebus, 0, 1.02113, 0, 1.04052, x_69478_1, x_14836
54, 0, 1.02809, 0, 1.05, 62302, sourcebus, 0, 1.02087, 0, 1.0404, x_69478_1, x_14836
55, 0, 1.02633, 0, 1.05, 62302, sourcebus, 0, 1.01826, 0, 1.03953, x_69478_1, x_14836
56, 0, 1.02358, 0, 1.05, 62302, sourcebus, 0, 1.01432, 0, 1.03819, x_6568_1, x_14836
57, 0, 1.02466, 0, 1.05, 62302, sourcebus, 0, 1.01352, 0, 1.03884, x_6568_1, x_14836
58, 0, 1.02408, 0, 1.05, 62302, sourcebus, 0, 1.01119, 0, 1.03863, x_6568_1, x_14836
59, 0, 1.0212, 0, 1.05, 62302, sourcebus, 0, 1.00732, 0, 1.03716, x_6568_1, x_14836
60, 0, 1.01977, 0, 1.05, 62302, sourcebus, 0, 1.00497, 0, 1.03644, x_6568_1, x_14836
61, 0, 1.01789, 0, 1.05, 62302, sourcebus, 0, 1.00221, 0, 1.0355, x_6568_1, x_14836
62, 0, 1.0152, 0, 1.05, 62302, sourcebus, 0, 0.999806, 0, 1.03407, x_6568_1, x_14836
63, 0, 1.01254, 0, 1.05, 62302, sourcebus, 0, 0.997336, 0, 1.03266, x_6568_1, x_14836
64, 0, 1.00932, 0, 1.05, 62302, sourcebus, 0, 0.995397, 0, 1.03092, x_6568_1, x_14836
65, 0, 1.00601, 0, 1.05, 62302, sourcebus, 0, 0.99207, 0, 1.0291, x_39754_1, x_14836
66, 0, 1.00275, 0, 1.05, 62302, sourcebus, 0, 0.987464, 0, 1.02726, x_39754_1, x_14836
67, 0, 1.00025, 0, 1.05, 62302, sourcebus, 0, 0.98399, 0, 1.02591, x_39754_1, x_14836
68, 0, 1.00082, 0, 1.05, 62302, sourcebus, 0, 0.984736, 0, 1.02616, x_39754_1, x_14836
69, 0, 1.00461, 0, 1.05, 62302, sourcebus, 0, 0.989861, 0, 1.02808, x_39754_1, x_14836
70, 0, 1.00655, 0, 1.05, 62302, sourcebus, 0, 0.99253, 0, 1.02911, x_39754_1, x_14836
71, 0, 1.00866, 0, 1.05, 62302, sourcebus, 0, 0.995437, 0, 1.03022, x_39754_1, x_14836
72, 0, 1.01382, 0, 1.05, 62302, sourcebus, 0, 1.00252, 0, 1.03292, x_39754_1, x_14836
73, 0, 1.01877, 0, 1.05, 62302, sourcebus, 0, 1.00939, 0, 1.03555, x_39754_1, x_14836
74, 0, 1.02371, 0, 1.05, 62302, sourcebus, 0, 1.01569, 0, 1.03814, x_69478_1, x_14836
75, 0, 1.02686, 0, 1.05, 62302, sourcebus, 0, 1.01848, 0, 1.03977, x_69478_1, x_14836
76, 0, 1.02858, 0, 1.05, 62302, sourcebus, 0, 1.01946, 0, 1.0407, x_69478_1, x_14836
77, 0, 1.03013, 0, 1.05, 62302, sourcebus, 0, 1.02075, 0, 1.04149, x_69478_1, x_14836
78, 0, 1.03069, 0, 1.05, 62302, sourcebus, 0, 1.0211, 0, 1.04178, x_69478_1, x_14836
79, 0, 1.03057, 0, 1.05, 62302, sourcebus, 0, 1.02081, 0, 1.04172, x_69478_1, x_14836
80, 0, 1.0299, 0, 1.05, 62302, sourcebus, 0, 1.02054, 0, 1.0415, x_69478_1, x_14836
81, 0, 1.02643, 0, 1.05, 62302, sourcebus, 0, 1.01534, 0, 1.03979, x_6568_1, x_14836
82, 0, 1.02014, 0, 1.05, 62302, sourcebus, 0, 1.0073, 0, 1.03657, x_6568_1, x_14836
83, 0, 1.01346, 0, 1.05, 62302, sourcebus, 0, 0.998834, 0, 1.03314, x_6568_1, x_14836
84, 0, 1.00609, 0, 1.05, 62302, sourcebus, 0, 0.990468, 0, 1.02931, x_6568_1, x_14836
85, 0, 1.00118, 0, 1.05, 62302, sourcebus, 0, 0.985597, 0, 1.02671, x_39754_1, x_14836
86, 0, 0.997278, 0, 1.05, 62302, sourcebus, 0, 0.980285, 0, 1.02469, x_39754_1, x_14836
87, 0, 0.993435, 0, 1.05, 62302, sourcebus, 0, 0.975009, 0, 1.02266, x_39754_1, x_14836
88, 0, 0.990761, 0, 1.05, 62302, sourcebus, 0, 0.971302, 0, 1.02121, x_39754_1, x_14836
89, 0, 0.990191, 0, 1.05, 62302, sourcebus, 0, 0.970447, 0, 1.02084, x_39754_1, x_14836
90, 0, 0.98877, 0, 1.05, 62302, sourcebus, 0, 0.968345, 0, 1.01995, x_39754_1, x_14836
91, 0, 0.990314, 0, 1.05, 62302, sourcebus, 0, 0.970448, 0, 1.02075, x_39754_1, x_14836
92, 0, 0.992136, 0, 1.05, 62302, sourcebus, 0, 0.972873, 0, 1.02164, x_39754_1, x_14836
93, 0, 0.996546, 0, 1.05, 62302, sourcebus, 0, 0.978872, 0, 1.02393, x_39754_1, x_14836
94, 0, 1.00052, 0, 1.05, 62302, sourcebus, 0, 0.984248, 0, 1.02595, x_39754_1, x_14836
95, 0, 1.0053, 0, 1.05, 62302, sourcebus, 0, 0.990812, 0, 1.02845, x_39754_1, x_14836
96, 0, 1.00965, 0, 1.05, 62302, sourcebus, 0, 0.996777, 0, 1.03072, x_39754_1, x_14836
97, 0, 1.01596, 0, 1.05, 62302, sourcebus, 0, 1.00546, 0, 1.03403, x_39754_1, x_14836
98, 0, 1.02117, 0, 1.05, 62302, sourcebus, 0, 1.01265, 0, 1.03678, x_39754_1, x_14836
99, 0, 1.02485, 0, 1.05, 62302, sourcebus, 0, 1.01741, 0, 1.03872, x_69478_1, x_14836
100, 0, 1.02728, 0, 1.05, 62302, sourcebus, 0, 1.01906, 0, 1.04, x_69478_1, x_14836
101, 0, 1.02896, 0, 1.05, 62302, sourcebus, 0, 1.02005, 0, 1.04088, x_69478_1, x_14836
102, 0, 1.02932, 0, 1.05, 62302, sourcebus, 0, 1.02011, 0, 1.0411, x_69478_1, x_14836
103, 0, 1.02826, 0, 1.05, 62302, sourcebus, 0, 1.01827, 0, 1.0406, x_69478_1, x_14836
104, 0, 1.02618, 0, 1.05, 62302, sourcebus, 0, 1.01494, 0, 1.03968, x_69478_1, x_14836
105, 0, 1.02633, 0, 1.05, 62302, sourcebus, 0, 1.01255, 0, 1.03992, x_69478_1, x_14836
106, 0, 1.02485, 0, 1.05, 62302, sourcebus, 0, 1.00961, 0, 1.03925, x_6568_1, x_14836
107, 0, 1.01958, 0, 1.05, 62302, sourcebus, 0, 1.00352, 0, 1.03653, x_6568_1, x_14836
108, 0, 1.01243, 0, 1.05, 62302, sourcebus, 0, 0.995867, 0, 1.03279, x_6568_1, x_14836
109, 0, 1.00562, 0, 1.05, 62302, sourcebus, 0, 0.988721, 0, 1.02921, x_6568_1, x_14836
110, 0, 0.998658, 0, 1.05, 62302, sourcebus, 0, 0.982212, 0, 1.0255, x_39754_1, x_14836
111, 0, 0.994672, 0, 1.05, 62302, sourcebus, 0, 0.976726, 0, 1.02337, x_39754_1, x_14836
112, 0, 0.99052, 0, 1.05, 62302, sourcebus, 0, 0.971022, 0, 1.02117, x_39754_1, x_14836
113, 0, 0.988356, 0, 1.05, 62302, sourcebus, 0, 0.967962, 0, 1.01994, x_39754_1, x_14836
114, 0, 0.985829, 0, 1.05, 62302, sourcebus, 0, 0.964353, 0, 1.01846, x_39754_1, x_14836
115, 0, 0.984917, 0, 1.05, 62302, sourcebus, 0, 0.963013, 0, 1.01789, x_39754_1, x_14836
116, 0, 0.98695, 0, 1.05, 62302, sourcebus, 0, 0.965686, 0, 1.01885, x_39754_1, x_14836
117, 0, 0.990207, 0, 1.05, 62302, sourcebus, 0, 0.970127, 0, 1.02054, x_39754_1, x_14836
118, 0, 0.991405, 0, 1.05, 62302, sourcebus, 0, 0.971766, 0, 1.02117, x_39754_1, x_14836
119, 0, 0.995959, 0, 1.05, 62302, sourcebus, 0, 0.977982, 0, 1.02355, x_39754_1, x_14836
120, 0, 1.00129, 0, 1.05, 62302, sourcebus, 0, 0.985283, 0, 1.02632, x_39754_1, x_14836
121, 0, 1.00921, 0, 1.05, 62302, sourcebus, 0, 0.99621, 0, 1.03052, x_39754_1, x_14836
122, 0, 1.01485, 0, 1.05, 62302, sourcebus, 0, 1.00397, 0, 1.03351, x_39754_1, x_14836
123, 0, 1.01888, 0, 1.05, 62302, sourcebus, 0, 1.00952, 0, 1.03561, x_39754_1, x_14836
124, 0, 1.02105, 0, 1.05, 62302, sourcebus, 0, 1.01254, 0, 1.03678, x_39754_1, x_14836
125, 0, 1.02277, 0, 1.05, 62302, sourcebus, 0, 1.0147, 0, 1.03765, x_69478_1, x_14836
126, 0, 1.02396, 0, 1.05, 62302, sourcebus, 0, 1.01546, 0, 1.0383, x_69478_1, x_14836
127, 0, 1.02338, 0, 1.05, 62302, sourcebus, 0, 1.01417, 0, 1.03798, x_69478_1, x_14836
128, 0, 1.02229, 0, 1.05, 62302, sourcebus, 0, 1.0122, 0, 1.03743, x_69478_1, x_14836
129, 0, 1.02107, 0, 1.05, 62302, sourcebus, 0, 1.00968, 0, 1.03689, x_69478_1, x_14836
130, 0, 1.01662, 0, 1.05, 62302, sourcebus, 0, 1.00526, 0, 1.03463, x_69478_1, x_14836
131, 0, 1.01113, 0, 1.05, 62302, sourcebus, 0, 0.99904, 0, 1.03177, x_39754_1, x_14836
132, 0, 1.00423, 0, 1.05, 62302, sourcebus, 0, 0.989543, 0, 1.02813, x_39754_1, x_14836
133, 0, 0.998525, 0, 1.05, 62302, sourcebus, 0, 0.981685, 0, 1.02511, x_39754_1, x_14836
134, 0, 0.993264, 0, 1.05, 62302, sourcebus, 0, 0.97451, 0, 1.02237, x_39754_1, x_14836
135, 0, 0.992445, 0, 1.05, 62302, sourcebus, 0, 0.973386, 0, 1.02193, x_39754_1, x_14836
136, 0, 0.992178, 0, 1.05, 62302, sourcebus, 0, 0.972984, 0, 1.02176, x_39754_1, x_14836
137, 0, 0.993331, 0, 1.05, 62302, sourcebus, 0, 0.974557, 0, 1.02236, x_39754_1, x_14836
138, 0, 0.993327, 0, 1.05, 62302, sourcebus, 0, 0.974553, 0, 1.02235, x_39754_1, x_14836
139, 0, 0.993183, 0, 1.05, 62302, sourcebus, 0, 0.974368, 0, 1.02227, x_39754_1, x_14836
140, 0, 0.996774, 0, 1.05, 62302, sourcebus, 0, 0.979223, 0, 1.02409, x_39754_1, x_14836
141, 0, 0.999667, 0, 1.05, 62302, sourcebus, 0, 0.983133, 0, 1.02556, x_39754_1, x_14836
142, 0, 1.00191, 0, 1.05, 62302, sourcebus, 0, 0.986164, 0, 1.02669, x_39754_1, x_14836
143, 0, 1.00415, 0, 1.05, 62302, sourcebus, 0, 0.989189, 0, 1.02781, x_39754_1, x_14836
144, 0, 1.00833, 0, 1.05, 62302, sourcebus, 0, 0.994888, 0, 1.02996, x_39754_1, x_14836
145, 0, 1.01382, 0, 1.05, 62302, sourcebus, 0, 1.00248, 0, 1.03288, x_39754_1, x_14836
146, 0, 1.0187, 0, 1.05, 62302, sourcebus, 0, 1.00924, 0, 1.03548, x_39754_1, x_14836
147, 0, 1.02219, 0, 1.05, 62302, sourcebus, 0, 1.01406, 0, 1.03731, x_39754_1, x_14836
148, 0, 1.02459, 0, 1.05, 62302, sourcebus, 0, 1.01738, 0, 1.03858, x_39754_1, x_14836
149, 0, 1.02581, 0, 1.05, 62302, sourcebus, 0, 1.0183, 0, 1.03925, x_69478_1, x_14836
150, 0, 1.02662, 0, 1.05, 62302, sourcebus, 0, 1.01822, 0, 1.03971, x_69478_1, x_14836
151, 0, 1.02663, 0, 1.05, 62302, sourcebus, 0, 1.01703, 0, 1.03978, x_69478_1, x_14836
152, 0, 1.02591, 0, 1.05, 62302, sourcebus, 0, 1.01544, 0, 1.03947, x_69478_1, x_14836
153, 0, 1.02264, 0, 1.05, 62302, sourcebus, 0, 1.01127, 0, 1.03779, x_69478_1, x_14836
154, 0, 1.01851, 0, 1.05, 62302, sourcebus, 0, 1.00747, 0, 1.03567, x_69478_1, x_14836
155, 0, 1.01552, 0, 1.05, 62302, sourcebus, 0, 1.00476, 0, 1.0341, x_69478_1, x_14836
156, 0, 1.01297, 0, 1.05, 62302, sourcebus, 0, 1.0016, 0, 1.03275, x_39754_1, x_14836
157, 0, 1.01094, 0, 1.05, 62302, sourcebus, 0, 0.998794, 0, 1.03168, x_39754_1, x_14836
158, 0, 1.00939, 0, 1.05, 62302, sourcebus, 0, 0.996719, 0, 1.03091, x_39754_1, x_14836
159, 0, 1.00885, 0, 1.05, 62302, sourcebus, 0, 0.996018, 0, 1.03067, x_39754_1, x_14836
160, 0, 1.00543, 0, 1.05, 62302, sourcebus, 0, 0.991303, 0, 1.02886, x_39754_1, x_14836
161, 0, 1.00155, 0, 1.05, 62302, sourcebus, 0, 0.985957, 0, 1.0268, x_39754_1, x_14836
162, 0, 0.99674, 0, 1.05, 62302, sourcebus, 0, 0.979254, 0, 1.02417, x_39754_1, x_14836
163, 0, 0.996549, 0, 1.05, 62302, sourcebus, 0, 0.97893, 0, 1.024, x_39754_1, x_14836
164, 0, 0.99687, 0, 1.05, 62302, sourcebus, 0, 0.979289, 0, 1.02408, x_39754_1, x_14836
165, 0, 0.999711, 0, 1.05, 62302, sourcebus, 0, 0.983206, 0, 1.02559, x_39754_1, x_14836
166, 0, 1.00251, 0, 1.05, 62302, sourcebus, 0, 0.987024, 0, 1.02704, x_39754_1, x_14836
167, 0, 1.00529, 0, 1.05, 62302, sourcebus, 0, 0.9908, 0, 1.02845, x_39754_1, x_14836
168, 0, 1.01076, 0, 1.05, 62302, sourcebus, 0, 0.998297, 0, 1.03129, x_39754_1, x_14836
169, 0, 1.01653, 0, 1.05, 62302, sourcebus, 0, 1.00622, 0, 1.03431, x_39754_1, x_14836
170, 0, 1.02129, 0, 1.05, 62302, sourcebus, 0, 1.01279, 0, 1.03682, x_39754_1, x_14836
171, 0, 1.02427, 0, 1.05, 62302, sourcebus, 0, 1.0169, 0, 1.03838, x_39754_1, x_14836
172, 0, 1.02712, 0, 1.05, 62302, sourcebus, 0, 1.01916, 0, 1.0399, x_69478_1, x_14836
173, 0, 1.02871, 0, 1.05, 62302, sourcebus, 0, 1.02043, 0, 1.04073, x_69478_1, x_14836
174, 0, 1.02931, 0, 1.05, 62302, sourcebus, 0, 1.02049, 0, 1.04109, x_69478_1, x_14836
175, 0, 1.0296, 0, 1.05, 62302, sourcebus, 0, 1.01959, 0, 1.0413, x_69478_1, x_14836
176, 0, 1.02773, 0, 1.05, 62302, sourcebus, 0, 1.0169, 0, 1.04042, x_69478_1, x_14836
177, 0, 1.02374, 0, 1.05, 62302, sourcebus, 0, 1.01174, 0, 1.03848, x_69478_1, x_14836
178, 0, 1.01839, 0, 1.05, 62302, sourcebus, 0, 1.00402, 0, 1.03579, x_6568_1, x_14836
179, 0, 1.01419, 0, 1.05, 62302, sourcebus, 0, 0.998421, 0, 1.03366, x_6568_1, x_14836
180, 0, 1.00801, 0, 1.05, 62302, sourcebus, 0, 0.992071, 0, 1.0304, x_6568_1, x_14836
181, 0, 0.999923, 0, 1.05, 62302, sourcebus, 0, 0.983929, 0, 1.02613, x_39754_1, x_14836
182, 0, 0.99286, 0, 1.05, 62302, sourcebus, 0, 0.974251, 0, 1.02242, x_39754_1, x_14836
183, 0, 0.988873, 0, 1.05, 62302, sourcebus, 0, 0.968787, 0, 1.0203, x_39754_1, x_14836
184, 0, 0.986288, 0, 1.05, 62302, sourcebus, 0, 0.965145, 0, 1.01885, x_39754_1, x_14836
185, 0, 0.98345, 0, 1.05, 62302, sourcebus, 0, 0.961182, 0, 1.01727, x_39754_1, x_14836
186, 0, 0.983273, 0, 1.05, 62302, sourcebus, 0, 0.960829, 0, 1.01706, x_39754_1, x_14836
187, 0, 0.981038, 0, 1.05, 62302, sourcebus, 0, 0.957699, 0, 1.0158, x_39754_1, x_14836
188, 0, 0.982479, 0, 1.05, 62302, sourcebus, 0, 0.959617, 0, 1.0165, x_39754_1, x_14836
189, 0, 0.984322, 0, 1.05, 62302, sourcebus, 0, 0.962088, 0, 1.01743, x_39754_1, x_14836
190, 0, 0.98843, 0, 1.05, 62302, sourcebus, 0, 0.967681, 0, 1.01957, x_39754_1, x_14836
191, 0, 0.993825, 0, 1.05, 62302, sourcebus, 0, 0.97505, 0, 1.02239, x_39754_1, x_14836
192, 0, 1.0022, 0, 1.05, 62302, sourcebus, 0, 0.986538, 0, 1.0268, x_39754_1, x_14836
193, 0, 1.00983, 0, 1.05, 62302, sourcebus, 0, 0.997014, 0, 1.03081, x_39754_1, x_14836
194, 0, 1.01554, 0, 1.05, 62302, sourcebus, 0, 1.00485, 0, 1.03379, x_39754_1, x_14836
195, 0, 1.01895, 0, 1.05, 62302, sourcebus, 0, 1.00952, 0, 1.03554, x_39754_1, x_14836
196, 0, 1.02143, 0, 1.05, 62302, sourcebus, 0, 1.01297, 0, 1.03687, x_39754_1, x_14836
197, 0, 1.0224, 0, 1.05, 62302, sourcebus, 0, 1.01431, 0, 1.0374, x_39754_1, x_14836
198, 0, 1.02283, 0, 1.05, 62302, sourcebus, 0, 1.01492, 0, 1.03764, x_39754_1, x_14836
199, 0, 1.021, 0, 1.05, 62302, sourcebus, 0, 1.01241, 0, 1.03669, x_39754_1, x_14836
200, 0, 1.0202, 0, 1.05, 62302, sourcebus, 0, 1.01144, 0, 1.0364, x_39754_1, x_14836
201, 0, 1.01923, 0, 1.05, 62302, sourcebus, 0, 1.00827, 0, 1.03599, x_6568_1, x_14836
202, 0, 1.01827, 0, 1.05, 62302, sourcebus, 0, 1.00449, 0, 1.03562, x_6568_1, x_14836
203, 0, 1.01611, 0, 1.05, 62302, sourcebus, 0, 1.00056, 0, 1.03457, x_6568_1, x_14836
204, 0, 1.0113, 0, 1.05, 62302, sourcebus, 0, 0.995139, 0, 1.03206, x_6568_1, x_14836
205, 0, 1.00397, 0, 1.05, 62302, sourcebus, 0, 0.986622, 0, 1.02822, x_6568_1, x_14836
206, 0, 0.995882, 0, 1.05, 62302, sourcebus, 0, 0.97838, 0, 1.02393, x_39754_1, x_14836
207, 0, 0.992653, 0, 1.05, 62302, sourcebus, 0, 0.973964, 0, 1.02224, x_39754_1, x_14836
208, 0, 0.991801, 0, 1.05, 62302, sourcebus, 0, 0.97273, 0, 1.02173, x_39754_1, x_14836
209, 0, 0.990308, 0, 1.05, 62302, sourcebus, 0, 0.970597, 0, 1.02086, x_39754_1, x_14836
210, 0, 0.99147, 0, 1.05, 62302, sourcebus, 0, 0.972052, 0, 1.02136, x_39754_1, x_14836
211, 0, 0.991169, 0, 1.05, 62302, sourcebus, 0, 0.971649, 0, 1.0212, x_39754_1, x_14836
212, 0, 0.993072, 0, 1.05, 62302, sourcebus, 0, 0.97421, 0, 1.02217, x_39754_1, x_14836
213, 0, 0.995677, 0, 1.05, 62302, sourcebus, 0, 0.977735, 0, 1.0235, x_39754_1, x_14836
214, 0, 0.998392, 0, 1.05, 62302, sourcebus, 0, 0.981424, 0, 1.0249, x_39754_1, x_14836
215, 0, 1.00162, 0, 1.05, 62302, sourcebus, 0, 0.985789, 0, 1.02654, x_39754_1, x_14836
216, 0, 1.00826, 0, 1.05, 62302, sourcebus, 0, 0.994942, 0, 1.03006, x_39754_1, x_14836
217, 0, 1.01518, 0, 1.05, 62302, sourcebus, 0, 1.00448, 0, 1.03371, x_39754_1, x_14836
218, 0, 1.02021, 0, 1.05, 62302, sourcebus, 0, 1.01142, 0, 1.03635, x_39754_1, x_14836
219, 0, 1.02282, 0, 1.05, 62302, sourcebus, 0, 1.01487, 0, 1.03771, x_6568_1, x_14836
220, 0, 1.02516, 0, 1.05, 62302, sourcebus, 0, 1.01765, 0, 1.03891, x_6568_1, x_14836
221, 0, 1.02657, 0, 1.05, 62302, sourcebus, 0, 1.01949, 0, 1.03964, x_6568_1, x_14836
222, 0, 1.02634, 0, 1.05, 62302, sourcebus, 0, 1.01955, 0, 1.03951, x_6568_1, x_14836
223, 0, 1.02464, 0, 1.05, 62302, sourcebus, 0, 1.0172, 0, 1.03864, x_6568_1, x_14836
224, 0, 1.02294, 0, 1.05, 62302, sourcebus, 0, 1.01363, 0, 1.03783, x_6568_1, x_14836
225, 0, 1.02248, 0, 1.05, 62302, sourcebus, 0, 1.01072, 0, 1.0377, x_6568_1, x_14836
226, 0, 1.02111, 0, 1.05, 62302, sourcebus, 0, 1.00833, 0, 1.03702, x_6568_1, x_14836
227, 0, 1.01957, 0, 1.05, 62302, sourcebus, 0, 1.00638, 0, 1.03624, x_6568_1, x_14836
228, 0, 1.01515, 0, 1.05, 62302, sourcebus, 0, 1.00001, 0, 1.03401, x_6568_1, x_14836
229, 0, 1.01248, 0, 1.05, 62302, sourcebus, 0, 0.997257, 0, 1.03263, x_6568_1, x_14836
230, 0, 1.00926, 0, 1.05, 62302, sourcebus, 0, 0.9932, 0, 1.03097, x_6568_1, x_14836
231, 0, 1.00725, 0, 1.05, 62302, sourcebus, 0, 0.991329, 0, 1.0299, x_6568_1, x_14836
232, 0, 1.00374, 0, 1.05, 62302, sourcebus, 0, 0.988123, 0, 1.02803, x_6568_1, x_14836
233, 0, 0.99988, 0, 1.05, 62302, sourcebus, 0, 0.983702, 0, 1.02591, x_39754_1, x_14836
